id	isolate	aliases	country	year	serotype	Sp_cgc_1000
681	CLB 8-5	CLB 8	Colombia	1995	5	
682	CLB 34-5	CLB 34	Colombia	1994	5	
683	JJ285	W4945	UK	2000		
684	Spain 23F-1	SP264	Spain		23F	
685	Spain 6B-2	GM17	Spain		6B	
686	Spain 9V-3	TL7/1993	Spain		9V	
687	Tennessee 23F-4	CS111	USA		23F	
688	Spain 14-5	MS22	Spain		14	
690	S.Africa 19A-7	17619	South Africa		19A	
691	S.Africa 6B-8	50803	South Africa		6B	
692	England 14-9	PN93/872/B	UK [England]		14	
693	CSR 14-10	87-029055	Slovakia		14	
694	CSR 19A-11	91-006571	Slovakia		19A	
695	Finland 6B-12	43362 Fi10	Finland		6B	
696	S.Africa 19A-13	51702	South Africa		19A	
697	Taiwan 19F-14	"CP000921; NC_012469; TW31"	Taiwan		19F	7
698	Taiwan 23F-15	TW17	Taiwan		23F	
699	Poland 23F-16	178	Poland		23F	
700	TW167-23F	TW167	Taiwan	1998	23F	
701	TW102-15C	TW102	Taiwan	1997	15C	
702	TW151-15A	TW151	Taiwan	1999	15A	
703	TW103-6B	TW103	Taiwan	1997	6B	
704	TW99-14	TW99	Taiwan	1997	14	
705	TW146-8	TW146	Taiwan	1998	8	
706	TW150-6B	TW150	Taiwan	1999	6B	
707	TW142/3	TW142	Taiwan	1998	3	
708	TW108/3	TW108	Taiwan	1997	3	
709	TW120/19F	TW120	Taiwan	1998	19F	
710	TW169/14	TW169	Taiwan	1998	14	
711	TW171/6B	TW171	Taiwan	1998	6B	
712	TW148/6B	TW148	Taiwan	1999	6B	
713	TW91/3	TW91	Taiwan	1997	3	
714	TW125/3	TW125	Taiwan	1997	3	
715	TW126/14	TW126	Taiwan	1997	14	
716	TW139/14	TW139	Taiwan	1998	14	
717	TW137/6A	TW137	Taiwan	1998	6A	
718	PJ897/1	PJ897	Sweden	1997	1	
719	PJ302/1	PJ302	Sweden	1992	1	
720	PJ337/1	PJ337	Sweden	1992	1	
721	PJ351/1	PJ351	Sweden	1992	1	
722	PJ1084/1	PJ1084	Sweden	1997	1	
723	PJ1098/1	PJ1098	Sweden	1997	1	
724	PJ755/1	PJ755	Sweden	1997	1	
725	PJ581/14	PJ581	Sweden	1992	14	
726	OXI_368		UK [England]	1996	18C	
727	OXI_804		UK [England]	1997	19F	
728	OXI_97		UK [England]	1995	38	
729	OXI_1017		UK [England]	1998	23F	
730	OXI_1687		UK [England]	2000	19F	
731	OXI_657		UK [England]	1997	6A	
732	OXI_835		UK [England]	1997	19F	
733	456		Poland	1996	23F	
734	1953		Poland	1996	23F	
735	479		Poland	1996	23F	
736	477		Poland	1996	23F	
737	509		Poland	1996	23F	
738	519		Poland	1996	23F	
739	520		Poland	1996	23F	
740	1807		Poland	1996	23F	
741	2816		Poland	1996	23F	
742	457		Poland	1996	6B	
743	496		Poland	1996	6B	
744	511		Poland	1996	6B	
745	524		Poland	1996	6B	
746	527		Poland	1996	6B	
747	1951		Poland	1996	6B	
748	2698		Poland	1996	6B	
749	2704		Poland	1996	6B	
750	2708		Poland	1996	6B	
751	2873		Poland	1996	6B	
752	2722		Poland	1996	6B	
753	531		Poland	1996	6B	
754	1544		Poland	1996	6A	
755	518		Poland	1996	Rough	
756	472		Poland	1996	9V	
757	541		Poland	1996	9V	
758	880		Poland	1996	9V	
759	2253		Poland	1996	9V	
760	535		Poland	1996	9V	
761	480		Poland	1996	19A	
762	2392		Poland	1996	14	
763	CHW1	11350212	Australia	2000	19F	
764	CHW2	2930110	Australia	2000	19F	
