id	isolate	aliases	country	year	serotype	Sp_cgc_1000
177	M156-6B	37	Denmark	1995	6B	
178	M157-6B	38	Denmark	1995	6B	
179	M158-6B	39	Denmark	1995	6B	
180	M159-6B	40	Denmark	1995	6B	
181	M160-18C	41	Denmark	1995	18C	
182	M161-18C	42	Denmark	1995	18C	
183	M162-18C	43	Denmark	1995	18C	
184	M163-18C	44	Denmark	1995	18C	
185	M164-18C	45	Denmark	1995	18C	
186	M165-19F	46	Denmark	1997	19F	
187	M166-19F	47	Denmark	1997	19F	
188	M167-19F	48	Denmark	1996	19F	
189	M168-19F	49	Denmark	1996	19F	
190	M169-19F	50	Denmark	1995	19F	
191	M170-23F	51	Denmark	1996	23F	
192	M171-23F	52	Denmark	1995	23F	
193	M172-23F	53	Denmark	1997	23F	
194	M173-23F	54	Denmark	1995	23F	
195	M174-23F	55	Denmark	1995	23F	
196	M175-23F	1	UK	1995	23F	
197	M176-12F	56	UK	1995	12F	
198	M177-19F	99	UK	1995	19F	
199	M178-6A	112	UK	1995	6A	
200	M179-12F	135	UK	1995	12F	
201	M180-9V	137	UK	1995	9V	
202	M181-6B	145	UK	1995	6B	
203	M182-9V	154	UK	1995	9V	
204	M183-14	182	UK	1995	14	
205	M184-14	213	UK	1996	14	
206	M185-12F	246	UK	1996	12F	
207	M186-18C	253	UK	1996	18C	
208	M187-19F	283	UK	1996	19F	
209	M188-6A	306	UK	1996	6A	
210	M189-19F	319	UK	1996	19F	
211	M190-19F	386	UK	1996	19F	
212	M191-12F	387	UK	1996	12F	
213	M192-9V	398	UK	1996	9V	
214	M193-14	514	UK	1996	14	
215	M194-12F	542	UK	1996	12F	
216	M195-3	617	UK	1997	3	
217	M196-33F	678	UK	1997	33F	
218	M197-23F	5	UK	1995	23F	
219	M198-9V	175	UK	1995	9V	
220	M199-6B	179	UK	1995	6B	
221	M200-18C	209	UK	1996	18C	
222	M201-19F	228	UK	1996	19F	
223	M202-18C	289	UK	1996	18C	
224	M203-18C	330	UK	1996	18C	
225	M204-14	338	UK	1996	14	
226	M205-18C	344	UK	1996	18C	
227	M206-1	400	UK	1996	1	
228	M207-23F	440	UK	1996	23F	
229	M208-18C	463	UK	1996	18C	
230	M209	469	UK	1996		
231	M210-19A	473	UK	1996	19A	
232	M211-3	485	UK	1996	3	
233	M212-16F	489	UK	1996	16F	
234	M213-7F	524	UK	1996	7F	
235	M214-14	619	UK	1997	14	
236	M215-14	622	UK	1997	14	
